Updated: 03/03/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greyed out if the CES parts have been amended out and there's nothing to see,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB 1469,Santiago,2/12/2021,"Amended out of the bill, Filed",From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,2/1/2022,Solid waste: plastic products: labeling: compostability and biodegradability.,Waste: plastic,"This bill would prohibit a person from selling a plastic product that is labeled with the term “industrially compostable” unless, at the time of sale, the plastic product meets the applicable ASTM standard specification for plastics designed to be aerobically composted in municipal or industrial facilities, and would specify that the labeling prohibition for “compostable” or “home compostable” applies unless, at the time of sale, the plastic product has the OK compost HOME certification. The bill would additionally exempt a plastic product labeled with the term “industrially compostable,” “compostable,” or “home compostable” from the prohibition on using those terms if the plastic product meets another specification adopted by the department that is adopted or developed by ASTM International or a similar existing standards body, as provided.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Didn't add anything since 39711 all amended out,"Law about compostable products meeting standards, 39711 provisions would have been to promote greater penetration in DACs for energy efficiency. Bill used to be an energy efficiency program bill"
AB-641,Holden,2/12/2021,Held in Committee,In committee: Held under submission.,8/26/2021,Transportation electrification: local publicly owned electric utilities.,Electricity,"This bill would require each local publicly owned electric utility to facilitate and ensure the availability of at least one station for public charging of passenger motor vehicles within its service territory. The bill would require each local publicly owned electric utility to develop and adopt a transportation electrification plan, individually, or in collaboration with other local publicly owned electric utilities, local governments, or local or regional transportation planning organizations, to include certain information to support the level of electric vehicle adoption required for the state to meet certain goals. The bill would require local publicly owned electric utilities to make their adopted plans available on their internet websites. The bill would deem a local publicly owned electric utility that has adopted an integrated resource plan or a transportation electrification plan before January 1, 2022, to be in compliance with the bill’s requirements and would require the utility to update the adopted plan at least once every 5 years. Because the bill would increase the duties of local publicly owned electric utilities, the bill would impose a state-mandated local program.",Section 9624 is added to the Public Utilities Code,"(2) Local publicly owned electric utilities are encouraged to include, to the extent possible, the following information in the plan:

(D) Programs to promote transportation electrification in communities identified as disadvantaged communities pursuant to Section 39711 of the Health and Safety Code or low-income communities as defined in Section 39713 of the Health and Safety Code.",HSC,Program prioritization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"requires each local publicly owned electric utility to have at least one station for public charging available, and are encouraged to promote transportation electrification in DACs"
AB 745,Gipson,2/16/2021,Filed,From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,2/1/2022,Air pollution: Clean Cars 4 All Program.,Transportation: ZEV,"This bill would require the state board, as a part of the Clean Cars 4 All Program, to provide vouchers for the purchase of zero-emission vehicles to persons of low income living in disadvantaged communities to replace those persons’ vehicles that have failed a smog check inspection, as provided. The bill would require the state board, by January 1, 2024, to take specified actions to meet the goals of the Clean Cars 4 All Program.",Section 44124.5 of the Health and Safety Code is amended,"(e) In participating districts, as a part of the Clean Cars 4 All, the state board shall provide vouchers to persons of low income living in disadvantaged communities, as identified pursuant to Section 39711, for the purchase of zero-emission vehicles to replace those persons’ vehicles that meet both of the following:",HSC,Program eligibility,Section 44124.5 of the Health and Safety Code is amended,"(d) The regulation implementing this section shall ensure all of the following:
(1) Where applicable, there is improved coordination, integration, and partnerships with other programs that target disadvantaged communities and receive moneys from the Greenhouse Gas Reduction Fund, created pursuant to Section 16428.8 of the Government Code.",HSC,Program goals,,,,,,,,,,,,,,,,,,,,,,,,,,"requires vouchers for zero-EV to go to people living in DACs to replace smog-failing cars, prioiritize DACs in general"
AB 111,Horvath,12/17/2020,Filed,From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,2/1/2022,Transportation: zero-emission vehicles. ,Transportation: ZEV,"This bill would require the Secretary of Transportation, in consultation with certain state entities, to implement a Safe and Clean Truck Infrastructure Program to support the construction and operation of zero-emission medium- and heavy-duty vehicle parking and electric vehicle charging and hydrogen refueling infrastructure on public and private properties, and to encourage the use of zero-emission vehicles. As part of the program, the bill would require the Secretary of Transportation, by January 1, 2025, to conduct an assessment outlining regional zero-emission medium- and heavy-duty vehicle parking and refueling deficiencies and strategies to address those deficiencies.... This bill would require the commission, in developing the plan, to also identify, among other things, short- and long-term zero-emission electric vehicle charging and hydrogen refueling strategies for the freight transportation system and regional zero-emission medium- and heavy-duty vehicle parking and refueling deficiencies and strategies to address those deficiencies... This bill would provide that the construction and operation of zero-emission truck parking, and supporting electric vehicle charging and hydrogen refueling networks, that the Secretary of Transportation has identified as part of the Safe and Clean Truck Infrastructure Program is an infrastructure project eligible for this funding.",Section 65075 is added to the Government Code,"(f) (1) The commission shall adopt guidelines, including a transparent process to evaluate projects and to allocate the funding described in subdivision (a) for trade infrastructure improvements in a manner that (A) addresses the state’s most urgent needs, (B) balances the demands of various land ports of entry, seaports, and airports, (C) places emphasis on projects that improve trade corridor mobility and safety while reducing emissions of diesel particulates, greenhouse gases, and other pollutants and reducing other negative community impacts, especially in disadvantaged communities, (D) makes a significant contribution to the state’s economy, (E) recognizes the key role of the state in project identification, (F) supports integrating statewide goods movement priorities in a corridor approach, and (G) includes disadvantaged communities measures, as established by the California Environmental Protection Agency pursuant to Section 39711 of the Health and Safety Code, and other tools the commission determines, for evaluating benefits or costs for disadvantaged communities and low-income communities.",HSC,Requires CES to be used in analysis,"Section 2192 of the Streets and Highways Code, as amended by Section 5 of Chapter 769 of the Statutes of 2021, is amended to read","(h) For purposes of this section, the following terms have the following meanings:
(1) “Disadvantaged communities” are those communities identified by the California Environmental Protection Agency pursuant to Section 39711 of the Health and Safety Code.",HSC,Defining a community,,,,,,,,,,,,,,,,,,,,,,,,,,"More zero-emissions vehicles, requiring commission to include a transparent process to evaluate projects and allocate funding including DAC measures for benefit and cost evaluations"
AB 303,Rivas,1/25/2021,"Amended out of the bill, Filed",From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.,2/1/2022,Aquaculture: mariculture production and restoration: pilot program,Marine,"Requires Department of Fish and Wildlife with CA Coastal Commission to create a pilot program in state water to develop shellfish and seaweed mariculture production and restoration capacity in CA, among other things",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amended out, was going to allocate at leasst 40% of pilot program area to have direct and meaningful benefits to aquaculturists in DACs or within 1/2 mile of DACs"
SB 671,Gonzalez,2/19/2021,Enacted,,10/9/2021,Transportation: Clean Freight Corridor Efficiency Assessment.,Transportation: ZEV,"This bill would establish the Clean Freight Corridor Efficiency Assessment, to be developed by the California Transportation Commission, in coordination with other state agencies. In developing the assessment, the bill would require the commission to identify freight corridors, or segments of corridors, throughout the state that would be priority candidates for the deployment of zero-emission medium- and heavy-duty vehicles. The bill would require the commission to submit a report containing the assessment’s findings and recommendations to certain committees of the Legislature by December 1, 2023. The bill would require the assessment’s findings and recommendations to be incorporated into the development of the California Transportation Plan. The bill would require the state freight plan to include a description of needed infrastructure, projects, and operations for the deployment of zero-emission medium- and heavy-duty vehicles and the development of freight corridors identified in the assessment. This bill would make projects that employ advanced and innovative technology to improve the flow of freight and also environmental and community mitigation or efforts to reduce environmental impacts of freight movement eligible for this funding.",Section 2192 of the Streets and Highways Code is amended,"(f) (1) The commission shall adopt guidelines, including a transparent process to evaluate projects and to allocate the funding described in subdivision (a) for trade infrastructure improvements in a manner that (A) addresses the state’s most urgent needs, (B) balances the demands of various land ports of entry, seaports, and airports, (C) places emphasis on projects that improve trade corridor mobility and safety while reducing emissions of diesel particulates, greenhouse gases, and other pollutants and reducing other negative community impacts, especially in disadvantaged communities, (D) makes a significant contribution to the state’s economy, (E) recognizes the key role of the state in project identification, (F) supports integrating statewide goods movement priorities in a corridor approach, and (G) includes disadvantaged communities measures, as established by the California Environmental Protection Agency pursuant to Section 39711 of the Health and Safety Code, and other tools the commission determines, for evaluating benefits or costs for disadvantaged communities and low-income communities. Project nominations shall include either a quantitative or qualitative assessment of the benefits the project is expected to achieve relative to the evaluation criteria. (1) “Disadvantaged communities” are those communities identified by the California Environmental Protection Agency pursuant to Section 39711 of the Health and Safety Code.",HSC,Requires CES to be used in analysis,Section 2192 of the Streets and Highways Code is amended,"(h) For purposes of this section, the following terms have the following meanings:
(1) “Disadvantaged communities” are those communities identified by the California Environmental Protection Agency pursuant to Section 39711 of the Health and Safety Code.",HSC,Defining a community,,,,,,,,,,,,,,,,,,,,,,,,,Thinking that the DAC-related stuff is not new for these zero-ev stuff,"More zero-emissions vehicles, requiring commission to include a transparent process to evaluate projects and allocate funding including DAC measures for benefit and cost evaluations"
AB 2566,Calderon,2/17/2022,Vetoed,Vetoed by Governor,9/25/2022,Urban forestry: school greening projects.,Greening,"This bill would require funds allocated to the department for the explicit purposes of supporting school greening, as defined, to be administered to provide grants to eligible local educational agencies, as defined, nonprofit organizations, cities, counties, and districts, including special districts, through a competitive grant process, as provided. The bill would require, on or before July 1, 2023, the department to develop the competitive grant process, including guidelines and selection criteria. The bill would require the department, before developing the grant process, to hold at least 2 public hearings to gather public input on the grant process development. The bill would, upon appropriation in the annual Budget Act, require funding for these purposes to be transferred to the School Greening and Resiliency Fund, which the bill would establish in the State Treasury.",Section 4799.12.1.5 is added to the Public Resources Code,"(2) “In-need education facility” means a schoolsite of a local educational agency in which either of the following apply:
(A) A schoolsite located in a disadvantaged community, as identified in Section 39711 of the Health and Safety Code, or a low-income community, as defined in paragraph (2) of subdivision (d) of Section 39713 of the Health and Safety Code.",HSC,Program eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Funding for greening of schools, with provisions for ""in-need education facility"" including in DACs, 80% of funds for grants for these facilities"
AB-2910,"Members Santiago and Wicks
(Coauthors: Assembly Members Carrillo, Cristina Garcia, and Muratsuchi)",2/18/2022,Inactive File,Ordered to inactive file at the request of Senator Gonzalez.,8/31/2022,Nonvehicular air pollution: civil penalties.,Air pollution/quality (nonvehicular),"This bill would also require any moneys, above the costs of prosecution and other specified costs, collected from penalties assessed by specified air pollution control districts and air quality management districts in excess of $10,000 for violations of air pollution control laws from nonvehicular sources that occurred in disadvantaged communities to be used to mitigate air pollution in the community or communities affected by the violation.",Added Section 42405.7 to Health and Safety Code,"(a) Any moneys collected from a penalty assessed by a district pursuant to this article above the costs of prosecution and district administration, investigation, attorney fees, and other reasonable district costs shall be used to mitigate air pollution in the community or communities affected by the violation.
(b) Subdivision (a) shall only apply to moneys collected from a penalty that meets all of the following criteria:
(1) The penalty is assessed by the Bay Area Air Quality Management District, the Sacramento Metropolitan Air Quality Management District, the San Diego County Air Pollution Control District, the San Joaquin Valley Unified Air Pollution Control District, or the South Coast Air Quality Management District.
(2) The amount of the penalty exceeds ten thousand dollars ($10,000).
(3) The penalty is assessed for a violation of law that occurred in a disadvantaged community identified pursuant to Section 39711.",HSC,Mitigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requires penalty fees from emitters that happened in DACs to go to DACs to mitigate air poll
AB-350,Villapudua ,1/28/2021,Inactive File,Ordered to inactive file at the request of Senator Hurtado.,9/2/2021,Agriculture: Cannella Environmental Farming Act of 1995: technical assistance grant program: groundwater conservation planning.,"Groundwater, Agriculture","This bill would require, upon an appropriation of funds, the Department of Food and Agriculture to establish and administer a 3-year grant program to fund technical assistance to support landowners located in a critically overdrafted basin, as defined, in reaching water use reduction goals established pursuant to the Sustainable Groundwater Management Act. The bill would require the department, in its development of the grant program, to establish various criteria, guidelines, restrictions, processes, and requirements for the qualification and administration of grants to technical assistance providers, as specified. The bill would authorize the department to use specified guidelines to administer this program. The bill would require the grant program to fund one or more technical assistance providers in each critically overdrafted basin. The bill would require the department to ensure that at least 25% of the grant program funds are used to provide technical assistance to socially disadvantaged farmers and ranchers, as defined. The bill would require that technical assistance from the grant program be provided directly to landowners in a critically overdrafted basin to design, develop, and implement on-farm conservation plans for agricultural lands that are at risk of fallowing due to water shortages.",Section 567 is added to the Food and Agricultural Code,"(b) In developing and administering the grant program, the department shall do all of the following:
...
(9) Prioritize technical assistance for socially disadvantaged farmers and ranchers, and farmers and ranchers in disadvantaged communities identified pursuant to Section 39711 of the Health and Safety Code.",HSC,Program prioritization,Section 567 is added to the Food and Agricultural Code,(5) Ensure at least 25 percent of the grant program funds are used to provide technical assistance to socially disadvantaged farmers and ranchers.,HSC by proxy,Funding prioritization,,,,,,,,,,,,,,,,,,,,,,,,,"Mentions disadvantaged communities pursuant to Section 10723.2 of the Water Code. This comes from findings: (d) Disadvantaged communities have long been disproportionately affected by California’s distressed water management system, with issues such as groundwater overdraft and pollution. Throughout the Sustainable Groundwater Management Act implementation process, groundwater sustainability agencies have a responsibility to “consider the interests of beneficial uses and users,” including disadvantaged communities, pursuant to Section 10723.2 of the Water Code.
(e) Among those hardest impacted by the climate change crisis and subsequent drought are socially disadvantaged farmers and ranchers, who are made more vulnerable due to generations of discriminatory lending and market practices and ongoing barriers that prevent them from accessing land and culturally relevant technical support. The investment of public funds pursuant to this act will result in public, environmental, social, and economic benefits and address inequities in our farming systems.",Provides funding for technical assistance for socially disadvantaged farmers
SB-345,Becker,2/9/2021,Returned to Secretary,Returned to Secretary of Senate pursuant to Joint Rule 56.,2/1/2022,Energy programs and projects: nonenergy benefits.,Energy,"This bill would require the commission to (1) begin the process, by January 1, 2023, to establish common definitions of nonenergy benefits and attempt to determine consistent values and methodologies for use in assigning priority access to authorized funds by distributed energy resource programs, (2) prioritize the use of authorized funding to support distributed energy resource programs and projects that provide the greatest nonenergy benefits, particularly for disadvantaged communities, and (3) track the demonstrated nonenergy benefits resulting from distributed energy resource programs during program evaluations and make this data available publicly on the commission’s internet website. The bill would prohibit the calculation of nonenergy benefits from being used in a manner that results in incremental cost shifting to nonparticipating customers or from being used to determine the cost effectiveness of distribution deferral projects or to estimate the value of avoided costs for use in evaluating distributed energy resource programs.",Section 383 added to the Public Utilities Code,"(c) The commission shall do all of the following:
...
(2) Prioritize the use of authorized funding to support distributed energy resource programs and projects. projects that provide the greatest nonenergy benefits, particularly for disadvantaged communities identified pursuant to Section 39711 of the Health and Safety Code.",HSC,Funding prioritization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"commission needs to have common definitions of nonenergy benefits, prioritize funding for projects that provide nonenergy benefits to disadvantaged communities. Nonenergy benefits describes the impacts of energy programs for participants, customers, and society beyond just generation, conservation, transportation of energy. Like costs, increased proprety value, etc"
SB-881,Min,1/26/2022,Held in Committee,Held in committee and under submission.,5/19/2022,Load-serving entities: integrated resource plans.,Electricity,"This bill would require the commission to require each load-serving entity to undertake sufficient procurement to achieve a diverse, balanced, and reliable statewide portfolio and realize specified electricity sector greenhouse gas emissions reductions, as provided.",Section 454.52 of the Public Utilities Code is amended,"454.52. (a) (1) Beginning in 2017, and to be updated regularly thereafter, the commission shall adopt a process for each load-serving entity, as defined in Section 380, to file an integrated resource plan, and a schedule for periodic updates to the plan, and shall ensure that load-serving entities do the following:
...
(I) Minimize localized air pollutants and other greenhouse gas emissions, with early priority on disadvantaged communities identified pursuant to Section 39711 of the Health and Safety Code.",HSC,Program prioritization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The amending does not add or change HSC,Requires load-servicing to minimize air pollution in DACs
AB-2703,Muratsuchi,2/18/2022,Held in Committee,Held under submission.,8/11/2022,Electric vehicle charging stations: reliability standards: low-income and disadvantaged community financial assistance.,Transportation: ZEV,"This bill would require a person who receives state funding to deploy a publicly available electric vehicle charging station to agree, as a condition of receiving the funding, to operate the station in compliance with reliability and reporting standards that would be developed by the Energy Commission, as specified. The bill would require the Energy Commission and the Public Utilities Commission to develop excluded time criteria from which the recipient of the state funding is exempt from reliability standards compliance. The bill would require the Energy Commission to publish data on compliance with the reliability standards as part of the above-described assessment and to protect the confidential information of an entity subject to the reliability standards by anonymizing and aggregating the compliance data in the assessment. The bill would also require the state board, upon appropriation by the Legislature, to develop a program, in consultation with the California Integrated Travel Project, to provide financial assistance to residents of low-income or disadvantaged communities, or both, to use electric vehicle charging stations, as specified.",Added Section 43872 to HSC,"""upon appropriation by the Legislature, the state board, in consultation with the California Integrated Travel Project, shall develop a program to provide financial assistance to residents of low-income or disadvantaged communities, or both, to use electric vehicle charging stations.",HSC by proxy,Program eligibility,Added Section 43872 to HSC,"(3) “Disadvantaged community” means a community identified pursuant to Section 39711.
(4) “Low-income community” has the same meaning as defined in Section 39713.""",HSC,Defining a community,Added Section 43872 to HSC,"(b) The program shall make financial assistance available through an open-loop, reloadable payment card that has both EMV chip and contactless capabilities and that is readily accessible to all residents of low-income and or disadvantaged community members communities, or both, in the state.",HSC,Funding prioritization,,,,,,,,,,,,,,,,,,,,,Input the Clean Cars 4 All program when amending out a section about eligibility criteria for disadvantaged communities. Seems to be prioritizing EV stations over public transit service,"provides financial assistance to residents of low-income or disadvantaged communities, or both, to use electric vehicle charging stations, as specified"
AB-1749,Garcia,2/1/2022,Enacted,,9/16/2022,Community emissions reduction programs: toxic air contaminants and criteria air pollutants.,Air pollution/quality (nonvehicular),"This bill would require the state board to additionally identify in each statewide strategy update measures to reduce criteria air pollutants and toxic air contaminants. The bill would authorize an air district that is required to adopt a community emissions reduction program to take up to one additional year to adopt the program, if the state board and a majority of the persons who are designated by the district to participate in the development and adoption of the program agree. The bill would require an air district that is required to adopt a community emissions reduction program to additionally include in its annual report a summary of updates to the program made to ensure consistency with updates to the statewide strategy. The bill would require an air district with a population of 1,000,000 persons or more that issues permits to stationary sources of criteria air pollutants or toxic air contaminants to make available in an easily identifiable location on the air district’s internet website all permits issued by the air district for those stationary sources. By increasing the duties of air districts, the bill would impose a state-mandated local program.",Amended 44391.2 of HSC,"a) For purposes of this section, the following provisions shall apply:
(1) “Disadvantaged community” means a community identified as disadvantaged pursuant to Section 39711.",HSC,Defining a community,Amended 44391.2 of HSC,"(1) An assessment and identification of communities with high cumulative exposure burdens for toxic air contaminants and criteria air pollutants. The assessment shall prioritize disadvantaged communities and sensitive receptor locations based on one or more of the following: best available modeling information, existing air quality monitoring information, existing public health data based on consultation with the Office of Environmental Health Hazard Assessment, and the monitoring results obtained pursuant to Section 42705.5.",HSC by proxy,Program prioritization,Amended 44391.2 of HSC,"(3) An assessment of whether a district should update and implement the risk reduction audit and emissions reduction plan developed pursuant to Section 44391 for any facility to achieve emissions reductions commensurate with its relative contribution, if the facility’s emissions either cause or significantly contribute to a material impact on a sensitive receptor location or disadvantaged community, based on any data available for assessment pursuant to paragraph (1) or other relevant data.",HSC by proxy,Requires CES to be used in analysis,,,,,,,,,,,,,,,,,,,,,,"more provisions on air districts that have to have community emissions reductions plans to follow state strategy, also provisions for creating the state strategy amongst state agencies and stakeholders"
AB-2238,Rivas,2/16/2022,Enacted,,9/9/2022,Extreme heat: statewide extreme heat ranking system.,Climate emergency/natural hazards,"This bill would require the agency, by January 1, 2025, to develop a statewide extreme heat ranking system in coordination with the ICARP, the State Department of Public Health, and the Department of Insurance, as provided. The bill would also require the Department of Insurance, by July 1, 2024, to transmit a study of, among other things, past extreme heat events and the effectiveness of insurance coverages, as specified, to prevent losses or help communities plan public health initiatives related to combating the effects of extreme heat, insurance options that will support specified adaptation, preparedness, and resilience measures, and recommendations for overcoming barriers encountered by local governments that are trying to use insurance or other financing tools to fund or support heat risk mitigation or adaptation strategies to the agency, the ICARP, and certain legislative policy committees, and to post the study on its internet website. The bill would require the agency, in coordination with the ICARP, the State Department of Public Health, and the Department of Insurance, to periodically review and update the extreme heat ranking system, as appropriate. The bill would require the ICARP to develop a public communication plan for the statewide extreme heat ranking system, recommend partnerships with local health departments and local and tribal governments, and develop statewide guidance for local and tribal governments in the preparation and planning for extreme heat events, and review the heat ranking system, as specified. The bill would also make findings and declarations related to extreme heat.",Part 5.5 (commencing with Section 71410) is added to Division 34 of the Public Resources Code,(2) “Disadvantaged community” means a community identified pursuant to Section 39711 of the Health and Safety Code.,HSC,Defining a community,Part 5.5 (commencing with Section 71410) is added to Division 34 of the Public Resources Code,"After the statewide extreme heat ranking system is finalized, the ICARP shall do all of the following:
(1) Develop, in consultation with the Office of Emergency Services, the State Department of Public Health, the Department of Insurance, and other state agencies, and with input from local governments, local health departments, tribal organizations, labor organizations, environmental organizations, and community groups from disadvantaged and vulnerable communities, a public communication plan for the statewide extreme heat ranking system with a focus on strategies that target communications to populations that are most at risk of public health and emergency impacts from extreme heat events, including, but not limited to, the most vulnerable populations. The communication plan shall include both of the following:
(A) Outreach plans for reaching diverse and vulnerable populations.
(B) Recommendations for targeted communications by local governments that include the use of culturally appropriate materials translated into multiple languages based on the common languages spoken in the locality.",HSC by proxy,Community engagement outreach,,,,,,,,,,,,,,,,,,,,,,,,,,"Created the extreme heat ranking system with provisions for public communication, and statewide guidance for local and tribal governments for planning for extreme heat"
AB-1519,Gallagher and Patterson,2/19/2021,Returned to Secretary,Filed with the Chief Clerk pursuant to Joint Rule 56.,2/1/2022,Forestry: fuels transportation program: biomass energy facility: grant program.,Transportation: transportation of fuels,"This bill would require the Natural Resources Agency to develop and implement a fuels transportation program that provides competitive grants or other financial incentives for projects in eligible communities to offset the costs of transporting fuels to a biomass energy facility, as specified. The bill would authorize the agency to allocate moneys from the Greenhouse Gas Reduction Fund consistent with the purposes of the fund. The bill would exempt these provisions from the Administrative Procedure Act.",Adding Section 4615 to Public Resources Code,"SECTION 1. Article 8.5 (commencing with Section 4615) is added to Chapter 8 of Part 2 of Division 4 of the Public Resources Code, to read:
Article  8.5. Fuels Transportation Program
4615. (a) For purposes of this section, the following terms have the following meanings:
...
(2) “Disadvantaged community” means a community identified as a disadvantaged community pursuant to Section 39711 of the Health and Safety Code.
",HSC,Defining a community,Adding Section 4615 to Public Resources Code,"(d) (1) Fuels transportation program grants or financial incentives may be made to cities, counties, districts, or nonprofit organizations. The agency shall develop criteria for the review and approval of applications that shall include the establishment of cost-sharing requirements and appropriate oversight and reporting requirements.
(2) The agency may waive or reduce the cost-sharing requirements for projects that directly benefit or occur in a disadvantaged or low-income community. The cost-sharing requirement may be fulfilled in the form of cash, in-kind services or materials, or any combination of those, as determined by the agency.
",HSC by proxy,Funding prioritization,,,,,,,,,,,,,,,,,,,,,,,,,"Not funding prioritization exactly, but waives or reduce cost-sharing of projects that benefit or occur in DAC","Started as a LA County Metro Transportation Authority bill, switched to fuels transportation program and forestry. Requires Natural Resources Agency to develop and implement a fuels transportation program that provides grants and financial incentives, with cost-sharing waiving for DACs"
AB 732,Quirk,2/16/2021,Enacted,,9/29/2022,Mercury Thermostat Collection Act of 2021.,Waste: hazardous,"This bill would impose the sales ban on the thermostats of every manufacturer not in compliance with the act, notwithstanding good faith effort. The bill would require manufacturers to provide, without a request, collection bins to wholesalers for out-of-service mercury-added thermostats. Because this bill would expand the scope of a crime, the bill would impose a state-mandated local program. The bill also would make other technical and nonsubstantive changes to the act.",Amended Section 25214.8.13 of the Health and Safety Code but nothing affecting HSC 39711,"(A) Subject to paragraph (2), each manufacturer, or group of manufacturers, shall do all of the following:
...
(vi) On or before April 1, 2023, and on or before April 1 of each year thereafter, submit an annual report to the department covering the one-year period ending December 31 of the previous calendar year. Each report shall also be posted on the internet website created by the qualified third party pursuant to subdivision (e) of Section 25214.8.11.5. The annual report shall include all of the following:
...
(VI) A description of the outreach strategies employed to increase participation, convenience, and collection rates, including dedicated outreach to rural communities, disadvantaged communities, as identified by the California Environmental Protection Agency pursuant to Section 39711, and low-income communities, as defined in paragraph (2) of subdivision (d) of Section 39713, and an assessment of the effectiveness of those outreach strategies.",HSC,Community engagement outreach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mercury waste clean up program with outreach for DACs
SB 1078,Allen,2/15/2022,Vetoed,,9/29/2022,Sea Level Rise Revolving Loan Pilot Program,Sea level rise,"This bill would require the council, in consultation with the conservancy, to develop the Sea Level Rise Revolving Loan Pilot Program, within 12 months of receiving specified requests from local jurisdictions to do so, for purposes of providing low-interest loans to local jurisdictions, as defined, for the purchase of coastal properties in their jurisdictions identified as vulnerable coastal property, as defined, located in specified communities, including low-income communities, as provided. The bill would require the council in consultation with other state planning and coastal management agencies, as provided, to adopt guidelines and eligibility criteria for the program. The bill would authorize specified local jurisdictions to apply for, and be awarded, a low-interest loan under the program from the conservancy, in consultation with the council, if the local jurisdiction develops and submits to the conservancy a vulnerable coastal property plan and completes all other requirements imposed by the council. The bill would require the conservancy, in consultation with the council, to review the plans to determine whether they meet the required criteria and guidelines for vulnerable coastal properties to be eligible for participation in the program.
The bill would establish the Sea Level Rise Revolving Loan Fund, to be administered by the conservancy, in consultation with the council, for purposes of providing, upon appropriation by the Legislature, the low-interest loans to eligible local jurisdictions, as provided. The bill would also require that loan repayments, fees, interest, and penalties be deposited in the fund for specified uses, upon appropriation by the Legislature, including for additional loans authorized under the program.","Division 20.6.6 (commencing with Section 30975) is added to the Public Resources Code, Added Section 30979","30979. (a) A local jurisdiction may apply for, and may be awarded, a low-interest loan through the Sea Level Rise Revolving Loan Pilot Program from the conservancy, in consultation with the council, only if the local jurisdiction completes both of the following:....(1) Develops and submits to the conservancy a vulnerable coastal property plan for its jurisdiction. The vulnerable coastal property plan shall include all of the following:...(G) An analysis of potential impacts on nearby severely disadvantaged communities, as defined by Section 80002 of this code, and disadvantaged communities, as identified pursuant to Section 39711 of the Health and Safety Code, and a plan for addressing any inequalities created by the program, including local financial impact.",HSC,"Requires CES to be used in analysis, Program goals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creates sea level rise loan pilot program with outreach strategy provisions for DACs
SB 1101,Caballero,2/16/2022,"Amended out of the bill, Inactive File",Ordered to inactive file on request of Assembly Member Reyes.,8/31/2022,Carbon sequestration: Geologic Carbon Sequestration Group.,Carbon emissions,"Bill would establish Geologic Carbon Sequestration Group, provide independent expertise and regulatory guidance to the state board. The bill would establish certain of the group’s duties, including identifying suitable locations of a class of carbon dioxide injection wells and providing specified guidance regarding the monitoring and operation of carbon dioxide injection wells.","SEC. 5.Article 2 (commencing with Section 39741) is added to Chapter 4.3 of Part 2 of Division 26 of the Health and Safety Code, to read:","39741.1.The state board shall, in consultation with the Geologic Carbon Sequestration Group established pursuant to Section 2212 of the Public Resources Code, establish a Carbon Capture, Utilization, and Storage Program for developing the commercial application of CCUS technologies or equipment to reduce the carbon dioxide emissions from new and existing facilities. The primary objective of the program is to deploy CCUS projects that will accelerate, to the maximum extent practicable, the development, deployment, and commercialization of advanced new technologies to capture and sequester carbon dioxide emissions from industrial and commercial facilities. In carrying out the objectives of the program, the state board shall prioritize the following:
...
(c)Maximizing project benefits to disadvantaged communities, as identified by the California Environmental Protection Agency pursuant to Section 39711.",HSC,"Program prioritization, Program goals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSC code amended out,Amended out section but would have required the carbon sequestration group to consider maximizing project benefits for DACs
AB 585,Rivas,2/11/2021,Held in Committee,In committee: Held under submission.,8/26/2021,Climate change: Extreme Heat and Community Resilience Program,Climate emergency/natural hazards,"This bill would establish the Extreme Heat and Community Resilience Program for the purpose of coordinating state efforts and supporting local and regional efforts to mitigate the impacts of, and reduce the public health risks of, extreme heat and the urban heat island effect, and would require the Office of Planning and Research to administer the program through the Integrated Climate Adaptation and Resiliency Program. Under the Extreme Heat and Community Resilience Program, the bill would require the Office of Planning and Research to coordinate the state’s efforts to address extreme heat and the urban heat island effect and to provide financial and technical assistance","Part 4.6 (commencing with Section 71361) is added to Division 34 of the Public Resources Code, to read:","(a) Before awarding grants under the program, the office shall adopt guidelines that include all of the following:...(f) In awarding grants, the office shall give priority to projects that meet any of the following:
(1) Serve disadvantaged communities, as identified in Section 39711 of the Health and Safety Code.",HSC,Funding prioritization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Established extreme heat program providing grants for urban forestry and greening programs, with priority for DACs"
